target,phase1,phase3,improvement,improvement_pct,rank,verdict,improvement_formatted,improvement_pct_formatted
school,0.30639583333333337,0.7746166666666667,0.46822083333333336,152.81566600938328,1,"🟢 LORA HELPS (+0.4682, +152.82%)",+0.4682,+152.82%
at,0.22905833333333334,0.6546416666666667,0.4255833333333333,185.79692218139482,2,"🟢 LORA HELPS (+0.4256, +185.80%)",+0.4256,+185.80%
ent,0.3615333333333333,0.7869875,0.42545416666666663,117.68048128342245,3,"🟢 LORA HELPS (+0.4255, +117.68%)",+0.4255,+117.68%
face,0.5448666666666667,0.8870333333333332,0.3421666666666665,62.79823810106444,4,"🟢 LORA HELPS (+0.3422, +62.80%)",+0.3422,+62.80%
hlt,0.4792125,0.7966875,0.317475,66.24931528288599,5,"🟢 LORA HELPS (+0.3175, +66.25%)",+0.3175,+66.25%
fauci,0.53065,0.8232291666666667,0.2925791666666667,55.135996733565776,6,"🟢 LORA HELPS (+0.2926, +55.14%)",+0.2926,+55.14%
cc,0.49588750000000004,0.7757916666666667,0.2799041666666666,56.44509423340306,7,"🟢 LORA HELPS (+0.2799, +56.45%)",+0.2799,+56.45%
stay,0.6101458333333333,0.8535333333333334,0.2433875000000001,39.89005360740262,8,"🟢 LORA HELPS (+0.2434, +39.89%)",+0.2434,+39.89%
fm,0.5742083333333333,0.7953166666666668,0.22110833333333346,38.50663957622816,9,"🟢 LORA HELPS (+0.2211, +38.51%)",+0.2211,+38.51%
la,0.5088541666666667,0.7256958333333333,0.2168416666666666,42.61371545547593,10,"🟢 LORA HELPS (+0.2168, +42.61%)",+0.2168,+42.61%
dtp,0.6920791666666667,0.9021958333333333,0.21011666666666662,30.360206864580753,11,"🟢 LORA HELPS (+0.2101, +30.36%)",+0.2101,+30.36%
hc,0.62925,0.8252833333333333,0.19603333333333328,31.153489604025953,12,"🟢 LORA HELPS (+0.1960, +31.15%)",+0.1960,+31.15%
dt,0.5595416666666667,0.7021875,0.14264583333333325,25.493335319085542,13,"🟢 LORA HELPS (+0.1426, +25.49%)",+0.1426,+25.49%
bernie,0.7425,0.8132625,0.07076249999999995,9.530303030303024,14,"🟢 LORA HELPS (+0.0708, +9.53%)",+0.0708,+9.53%
joe,0.8045208333333332,0.8737125,0.06919166666666676,8.600357355568804,15,"🟢 LORA HELPS (+0.0692, +8.60%)",+0.0692,+8.60%
