experiment_type,model,model_size,model_category,model_params,prompt_type,phase,f1_score
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.575
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.1311
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.5218
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.3874
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.7549
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.7004
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.5137
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.8091
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.6312
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.2422
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.5996
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.4547
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.6296
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.4903
SD,mistral_7b,7B,Medium,7,cot_knowledge,Base (Non Fine-Tuned),0.601
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.8038
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.8317
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.7168
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.9193
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.9505
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.8264
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.8644
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.8622
